State,Date,Holiday
NSW,1/1/2026,New Year's Day
NSW,1/26/2026,Australia Day
NSW,4/3/2026,Good Friday
NSW,4/4/2026,Easter Saturday
NSW,4/5/2026,Easter Sunday
NSW,4/6/2026,Easter Monday
NSW,4/25/2026,Anzac Day
NSW,4/27/2026,Additional Day
NSW,6/8/2026,King's Birthday
NSW,8/3/2026,Bank Holiday
NSW,10/5/2026,Bank Holiday
NSW,12/25/2026,Christmas Day
NSW,12/26/2026,Boxing Day
NSW,12/28/2026,Additional Day
NSW,1/1/2027,New Year's Day
NSW,1/26/2027,Australia Day
NSW,3/26/2027,Good Friday
NSW,3/27/2027,Easter Saturday
NSW,3/28/2027,Easter Sunday
NSW,3/29/2027,Easter Monday
NSW,4/25/2027,Anzac Day
NSW,4/26/2027,Additional Day
NSW,6/14/2027,King's Birthday
NSW,8/2/2027,Bank Holiday
NSW,10/4/2027,Bank Holiday
NSW,12/25/2027,Christmas Day
NSW,12/26/2027,Boxing Day
NSW,12/28/2027,Additional Day
ACT,1/1/2026,New Year's Day
ACT,1/26/2026,Australia Day
ACT,3/9/2026,Canberra Day
ACT,4/3/2026,Good Friday
ACT,4/4/2026,Easter Saturday
ACT,4/5/2026,Easter Sunday
ACT,4/6/2026,Easter Monday
ACT,4/25/2026,Anzac Day
ACT,4/27/2026,Anzac Day Holiday
ACT,6/1/2026,Reconciliation Day
ACT,6/8/2026,King's Birthday
ACT,10/5/2026,Labour Day
ACT,12/25/2026,Christmas Day
ACT,12/26/2026,Boxing Day
ACT,12/28/2026,Boxing Day Holiday
ACT,1/1/2027,New Year's Day
ACT,1/26/2027,Australia Day
ACT,3/8/2027,Canberra Day
ACT,3/26/2027,Good Friday
ACT,3/27/2027,Easter Saturday
ACT,3/28/2027,Easter Sunday
ACT,3/29/2027,Easter Monday
ACT,4/25/2027,Anzac Day
ACT,4/26/2027,Anzac Day Holiday
ACT,5/31/2027,Reconciliation Day
ACT,6/14/2027,King's Birthday
ACT,10/4/2027,Labour Day
ACT,12/25/2027,Christmas Day
ACT,12/26/2027,Boxing Day
ACT,12/27/2027,Christmas Holiday
ACT,12/28/2027,Boxing Day Holiday

